contigName	contigLen	totalAvgDepth	R1Dec2019.sorted.bam	R1Dec2019.sorted.bam-var	R1Feb2020.sorted.bam	R1Feb2020.sorted.bam-var	R1Jan2020.sorted.bam	R1Jan2020.sorted.bam-var	R1July2020.sorted.bam	R1July2020.sorted.bam-var	R1Mar2020.sorted.bam	R1Mar2020.sorted.bam-var	R1Nov2019.sorted.bam	R1Nov2019.sorted.bam-var	R1Sept2020.sorted.bam	R1Sept2020.sorted.bam-var	R2Dec2019.sorted.bam	R2Dec2019.sorted.bam-var	R2Feb2020.sorted.bam	R2Feb2020.sorted.bam-var	R2Jan2020.sorted.bam	R2Jan2020.sorted.bam-var	R2July2020.sorted.bam	R2July2020.sorted.bam-var	R2Mar2020.sorted.bam	R2Mar2020.sorted.bam-var	R2Nov2019.sorted.bam	R2Nov2019.sorted.bam-var	R2Sept2020.sorted.bam	R2Sept2020.sorted.bam-var
contig_571	4900	34.4282	0	0	1.51389	3.7896	1.23453	20.804	4.94947	16.4062	1.12505	1.28104	0.824842	3.78817	7.05768	18.4447	1.36695	16.7289	5.15432	31.7842	1.77284	6.00496	2.60968	9.09433	1.39116	1.93541	0.135789	0.158224	5.292	17.0243
contig_1399	5754	560.592	85.8961	4245	14.1205	128.474	24.2705	743.024	2.10903	4.97461	3.27159	10.3668	125.753	13235.3	2.06031	4.09558	97.8183	6092.02	1.16131	1.82763	29.3048	535.382	3.76481	15.3754	3.24679	9.0761	163.989	20609.1	3.8253	9.86217
contig_1153	6351	261.813	0.500564	2.03181	49.195	224.829	2.53862	26.2387	41.3109	210.659	3.91308	7.60388	0	0	66.2383	317.931	0.461377	3.35694	18.4859	84.224	1.22948	6.65268	58.9387	290.942	3.18158	5.95702	0	0	15.8197	41.8095
contig_2005	55851	28.8292	0.135222	0.839735	0.000430872	0.00043057	0.00017953	0.000179482	6.07969	17.368	0.409544	0.567517	0.203228	0.47244	1.91295	3.9199	0.29863	5.0578	2.79613	9.60653	0.00556543	0.00729372	9.85352	27.9683	0.861744	1.27629	0.364302	3.05173	5.9081	15.0746
contig_3551	12969	29.0115	0.224354	0.938965	1.74054	4.09412	0.101724	0.46645	7.0071	17.7116	0.91653	1.31235	0.129183	0.122178	2.18293	4.80064	1.08558	18.1106	2.64982	10.1329	0.813246	4.05264	7.1135	20.0742	1.70341	2.64634	0.866292	5.01153	2.47734	4.56627
contig_433	8098	161.224	2.5955	18.0207	13.693	189.413	6.56756	222.036	31.2414	523.588	8.42992	139.332	1.43382	4.30076	9.77466	55.3452	6.38928	93.5026	14.3978	144.691	7.67979	174.68	30.5216	381.046	10.8262	171.846	5.22836	25.9438	12.4451	94.1262
contig_599	13496	303.734	0.169639	1.09126	14.3814	70.762	7.54638	116.644	76.0949	759.716	10.3808	33.2284	0.560767	1.52801	30.9984	191.976	0	0	56.0448	426.5	11.0393	58.0233	50.2083	472.352	13.5503	47.5645	0.824067	3.62128	31.9353	196.9
contig_1770	7405	2853.49	146.489	7723.35	550.949	112690	403.709	58368.7	131.717	8048.84	260.09	26183.8	22.5818	226.313	36.9155	714.514	176.925	13211	125.353	5998.46	439.201	66175.9	193.993	15796.2	312.111	38147.7	28.3275	453.845	25.125	1472.95
contig_305	587	418.458	5.17391	12.2586	37.3707	763.785	29.1007	322.118	31.1579	359.331	25.8146	370.825	1.03661	0.773884	51.1625	749.971	6.32494	26.174	31.4531	298.995	27.3043	391.836	45.1648	626.473	27.151	258.904	0.322654	0.219049	99.9199	1758.2
contig_2283	4969	46.9116	0.753268	6.95129	3.90932	23.8116	1.37684	12.1998	8.29218	106.7	1.45715	6.45614	0	0	5.61963	43.2114	1.50405	20.7012	8.56568	66.9745	2.06703	10.2466	6.25275	72.948	2.57771	9.77449	0.0622536	0.0583902	4.47375	22.3149
